Informasi Rekening - Mutasi Rekening, , , , 
,,,,
No. rekening : 4363005287,,,,
Nama : SENTRAL TEHNOLOGI MANAGE,,,,
Periode : 01/10/2025 - 31/10/2025,,,,
Kode Mata Uang : Rp,,,,
Tanggal Transaksi,Keterangan,Cabang,Jumlah,Saldo
27-Oct,KR OTOMATIS LLG-MIZUHO INDONES PARDIC JAYA CHEMIC SKN 251027001384299412   ,938,"4,905,000.00 CR","251,928,436.27"
28-Oct,BI-FAST CR TRANSFER   DR 042 PANASONIC GOBEL EN     ,0,"7,357,500.00 CR","259,285,936.27"
28-Oct,KR OTOMATIS LLG-MIZUHO INDONES YAMAHA MOTOR PARTS BPJ290 251028001384984280   ,938,"7,630,000.00 CR","266,915,936.27"
28-Oct,TRSF E-BANKING CR 2810/FTSCY/WS95051 83385000.00 KONSULTASI ISO INV 282 AYUNAN BULAN INTER  ,40,"83,385,000.00 CR","350,300,936.27"
28-Oct,KR OTOMATIS LLG-MULTI ARTA SEN PT ANEKA MITRA GEM Pembayaran dari PT ANEKA MITRA GEMIL 251028001385178495  ,938,"1,762,900.00 CR","352,063,836.27"
29-Oct,KR OTOMATIS LLG-PT BANK SMBC I FUTABA INDUSTRIAL 259/STM/2025 251029001385420674   ,938,"7,628,000.00 CR","359,691,836.27"
29-Oct,SWITCHING CR TRF        DR 008 LAMEMBA PLAZA MANDI    ,998,"17,004,000.00 CR","376,695,836.27"
30-Oct,BI-FAST DB TRANSFER   KE 028 PT. VUCA STRATEGI KBB    ,0,"100,000,000.00 DB","276,695,836.27"
30-Oct,BI-FAST DB BIAYA TXN  KE 028 PT. VUCA STRATEGI KBB    ,0,"2,500.00 DB","276,693,336.27"
30-Oct,BI-FAST DB TRANSFER   KE 028 PT. VUCA STRATEGI KBB    ,0,"74,000,000.00 DB","202,693,336.27"
30-Oct,BI-FAST DB BIAYA TXN  KE 028 PT. VUCA STRATEGI KBB    ,0,"2,500.00 DB","202,690,836.27"
30-Oct,TRSF E-BANKING DB 2910/FTSCY/WS95051 73000000.00 Piutang PT Sustain Gaji Oktober SENTRAL SUSTAINABI  ,0,"73,000,000.00 DB","129,690,836.27"
30-Oct,KR OTOMATIS LLG-CITIBANK PT. APM AUTOMOTIVE 251030001386099581    ,938,"13,080,000.00 CR","142,770,836.27"
31-Oct,DB OTOMATIS IBSPTSETMA SMEMFTS EFT68888 04360091    ,0,"116,627,741.00 DB","26,143,095.27"
31-Oct,KR OTOMATIS LLG-MANDIRI ODIRA ENERGY KARAN 152/EXT/OEKA/X/202 5 251031001386775283  ,938,"30,000,000.00 CR","56,143,095.27"
31-Oct,TRSF E-BANKING CR 3110/FTSCY/WS95031 200000.00 webinar FAHRUROJI   ,8430,"200,000.00 CR","56,343,095.27"
31-Oct,BIAYA ADM       ,0,"30,000.00 DB","56,313,095.27"
31-Oct,BUNGA       ,0,"56,764.37 CR","56,369,859.64"
31-Oct,PAJAK BUNGA       ,0,"11,352.87 DB","56,358,506.77"
"Saldo Awal : 46,006,762.27",,,,
"Mutasi Debet : 784,038,525.87",23,,,
"Mutasi Kredit : 794,390,270.37",52,,,
"Saldo Akhir : 56,358,506.77",,,,
